43;23;Dåžka trvania priorityQueueTwoLists Push
44;23;Dåžka trvania priorityQueueTwoLists Push
45;28;Dåžka trvania priorityQueueTwoLists Push
46;25;Dåžka trvania priorityQueueTwoLists Push
47;22;Dåžka trvania priorityQueueTwoLists Push
48;53;Dåžka trvania priorityQueueTwoLists Push
49;26;Dåžka trvania priorityQueueTwoLists Push
50;23;Dåžka trvania priorityQueueTwoLists Push
51;24;Dåžka trvania priorityQueueTwoLists Push
52;30;Dåžka trvania priorityQueueTwoLists Push
53;23;Dåžka trvania priorityQueueTwoLists Push
54;23;Dåžka trvania priorityQueueTwoLists Push
55;28;Dåžka trvania priorityQueueTwoLists Push
56;23;Dåžka trvania priorityQueueTwoLists Push
57;32;Dåžka trvania priorityQueueTwoLists Push
58;24;Dåžka trvania priorityQueueTwoLists Push
59;27;Dåžka trvania priorityQueueTwoLists Push
60;27;Dåžka trvania priorityQueueTwoLists Push
61;24;Dåžka trvania priorityQueueTwoLists Push
62;26;Dåžka trvania priorityQueueTwoLists Push
63;27;Dåžka trvania priorityQueueTwoLists Push
64;24;Dåžka trvania priorityQueueTwoLists Push
65;24;Dåžka trvania priorityQueueTwoLists Push
66;27;Dåžka trvania priorityQueueTwoLists Push
67;27;Dåžka trvania priorityQueueTwoLists Push
68;25;Dåžka trvania priorityQueueTwoLists Push
69;27;Dåžka trvania priorityQueueTwoLists Push
70;24;Dåžka trvania priorityQueueTwoLists Push
71;29;Dåžka trvania priorityQueueTwoLists Push
72;25;Dåžka trvania priorityQueueTwoLists Push
73;28;Dåžka trvania priorityQueueTwoLists Push
74;26;Dåžka trvania priorityQueueTwoLists Push
75;26;Dåžka trvania priorityQueueTwoLists Push
76;24;Dåžka trvania priorityQueueTwoLists Push
77;26;Dåžka trvania priorityQueueTwoLists Push
78;28;Dåžka trvania priorityQueueTwoLists Push
79;23;Dåžka trvania priorityQueueTwoLists Push
80;26;Dåžka trvania priorityQueueTwoLists Push
81;33;Dåžka trvania priorityQueueTwoLists Push
82;28;Dåžka trvania priorityQueueTwoLists Push
83;23;Dåžka trvania priorityQueueTwoLists Push
84;93;Dåžka trvania priorityQueueTwoLists Push
85;24;Dåžka trvania priorityQueueTwoLists Push
86;25;Dåžka trvania priorityQueueTwoLists Push
87;29;Dåžka trvania priorityQueueTwoLists Push
88;22;Dåžka trvania priorityQueueTwoLists Push
89;31;Dåžka trvania priorityQueueTwoLists Push
90;28;Dåžka trvania priorityQueueTwoLists Push
91;23;Dåžka trvania priorityQueueTwoLists Push
92;28;Dåžka trvania priorityQueueTwoLists Push
93;67;Dåžka trvania priorityQueueTwoLists Push
94;28;Dåžka trvania priorityQueueTwoLists Push
95;30;Dåžka trvania priorityQueueTwoLists Push
96;27;Dåžka trvania priorityQueueTwoLists Push
97;23;Dåžka trvania priorityQueueTwoLists Push
98;26;Dåžka trvania priorityQueueTwoLists Push
99;31;Dåžka trvania priorityQueueTwoLists Push
100;59;Dåžka trvania priorityQueueTwoLists Push
0;703;Dåžka trvania heap pop
1000;135;Dåžka trvania heap pop
2000;148;Dåžka trvania heap pop
3000;161;Dåžka trvania heap pop
4000;156;Dåžka trvania heap pop
5000;169;Dåžka trvania heap pop
6000;169;Dåžka trvania heap pop
7000;174;Dåžka trvania heap pop
8000;175;Dåžka trvania heap pop
9000;191;Dåžka trvania heap pop
10000;188;Dåžka trvania heap pop
11000;227;Dåžka trvania heap pop
12000;189;Dåžka trvania heap pop
13000;190;Dåžka trvania heap pop
14000;184;Dåžka trvania heap pop
15000;188;Dåžka trvania heap pop
16000;184;Dåžka trvania heap pop
17000;242;Dåžka trvania heap pop
18000;203;Dåžka trvania heap pop
19000;348;Dåžka trvania heap pop
20000;203;Dåžka trvania heap pop
21000;197;Dåžka trvania heap pop
22000;209;Dåžka trvania heap pop
23000;198;Dåžka trvania heap pop
24000;245;Dåžka trvania heap pop
25000;201;Dåžka trvania heap pop
26000;199;Dåžka trvania heap pop
27000;237;Dåžka trvania heap pop
28000;219;Dåžka trvania heap pop
29000;202;Dåžka trvania heap pop
30000;349;Dåžka trvania heap pop
31000;197;Dåžka trvania heap pop
32000;235;Dåžka trvania heap pop
33000;210;Dåžka trvania heap pop
34000;568;Dåžka trvania heap pop
35000;209;Dåžka trvania heap pop
36000;210;Dåžka trvania heap pop
37000;216;Dåžka trvania heap pop
38000;211;Dåžka trvania heap pop
39000;209;Dåžka trvania heap pop
40000;216;Dåžka trvania heap pop
41000;212;Dåžka trvania heap pop
42000;211;Dåžka trvania heap pop
43000;210;Dåžka trvania heap pop
44000;210;Dåžka trvania heap pop
45000;226;Dåžka trvania heap pop
46000;211;Dåžka trvania heap pop
47000;210;Dåžka trvania heap pop
48000;211;Dåžka trvania heap pop
49000;216;Dåžka trvania heap pop
50000;219;Dåžka trvania heap pop
51000;211;Dåžka trvania heap pop
52000;260;Dåžka trvania heap pop
53000;209;Dåžka trvania heap pop
54000;212;Dåžka trvania heap pop
55000;209;Dåžka trvania heap pop
56000;209;Dåžka trvania heap pop
57000;218;Dåžka trvania heap pop
58000;215;Dåžka trvania heap pop
59000;211;Dåžka trvania heap pop
60000;212;Dåžka trvania heap pop
61000;215;Dåžka trvania heap pop
62000;262;Dåžka trvania heap pop
63000;211;Dåžka trvania heap pop
64000;255;Dåžka trvania heap pop
65000;216;Dåžka trvania heap pop
66000;223;Dåžka trvania heap pop
67000;222;Dåžka trvania heap pop
68000;223;Dåžka trvania heap pop
69000;224;Dåžka trvania heap pop
70000;224;Dåžka trvania heap pop
71000;226;Dåžka trvania heap pop
72000;224;Dåžka trvania heap pop
73000;225;Dåžka trvania heap pop
74000;224;Dåžka trvania heap pop
75000;231;Dåžka trvania heap pop
76000;225;Dåžka trvania heap pop
77000;225;Dåžka trvania heap pop
78000;224;Dåžka trvania heap pop
79000;274;Dåžka trvania heap pop
80000;224;Dåžka trvania heap pop
